"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19, 2021","129.87","130.23","130.70","128.83","87.67M","0.12%"
"Feb 18, 2021","129.71","128.97","129.99","127.45","96.86M","-0.86%"
"Feb 17, 2021","130.84","131.31","132.21","129.56","98.09M","-1.76%"
"Feb 16, 2021","133.19","135.47","136.00","132.82","80.58M","-1.61%"
"Feb 12, 2021","135.37","134.35","135.53","133.69","60.15M","0.18%"
"Feb 11, 2021","135.13","135.94","136.36","133.78","64.28M","-0.19%"
"Feb 10, 2021","135.39","136.46","136.98","134.46","73.05M","-0.46%"
"Feb 09, 2021","136.01","136.66","137.87","135.86","76.77M","-0.66%"
"Feb 08, 2021","136.91","136.03","136.96","134.92","71.30M","0.11%"
"Feb 05, 2021","136.76","137.35","137.42","135.86","75.69M","-0.46%"
"Feb 04, 2021","137.39","136.30","137.40","134.59","84.18M","2.58%"
"Feb 03, 2021","133.94","135.76","135.77","133.61","89.88M","-0.78%"
"Feb 02, 2021","134.99","135.73","136.31","134.61","83.31M","0.63%"
"Feb 01, 2021","134.14","133.75","135.38","130.93","106.24M","1.65%"
"Jan 29, 2021","131.96","135.83","136.74","130.21","177.52M","-3.74%"
"Jan 28, 2021","137.09","139.52","141.99","136.70","142.62M","-3.50%"
"Jan 27, 2021","142.06","143.43","144.30","140.41","140.84M","-0.77%"
"Jan 26, 2021","143.16","143.60","144.30","141.37","98.39M","0.17%"
"Jan 25, 2021","142.92","143.07","145.09","136.54","157.61M","2.77%"
"Jan 22, 2021","139.07","136.28","139.85","135.02","114.46M","1.61%"
"Jan 21, 2021","136.87","133.80","139.67","133.59","120.53M","3.67%"
"Jan 20, 2021","132.03","128.66","132.49","128.55","104.32M","3.29%"
"Jan 19, 2021","127.83","127.78","128.71","126.94","90.76M","0.54%"
"Jan 15, 2021","127.14","128.78","130.22","127.00","111.60M","-1.37%"
"Jan 14, 2021","128.91","130.80","131.00","128.76","90.22M","-1.51%"
"Jan 13, 2021","130.89","128.76","131.45","128.49","88.64M","1.62%"
"Jan 12, 2021","128.80","128.50","129.69","126.86","91.95M","-0.14%"
"Jan 11, 2021","128.98","129.19","130.17","128.50","100.62M","-2.32%"
"Jan 08, 2021","132.05","132.43","132.63","130.23","105.16M","0.86%"
"Jan 07, 2021","130.92","128.36","131.63","127.86","109.58M","3.41%"
"Jan 06, 2021","126.60","127.72","131.05","126.38","155.09M","-3.37%"
"Jan 05, 2021","131.01","128.89","131.74","128.43","97.67M","1.24%"
"Jan 04, 2021","129.41","133.52","133.61","126.76","143.30M","-2.47%"
"Dec 31, 2020","132.69","134.08","134.74","131.72","99.12M","-0.77%"
"Dec 30, 2020","133.72","135.58","135.99","133.40","96.45M","-0.85%"
"Dec 29, 2020","134.87","138.05","138.79","134.34","121.05M","-1.33%"
"Dec 28, 2020","136.69","133.99","137.34","133.51","124.49M","3.58%"
"Dec 24, 2020","131.97","131.32","133.46","131.10","54.93M","0.77%"
"Dec 23, 2020","130.96","132.16","132.43","130.78","88.22M","-0.70%"
"Dec 22, 2020","131.88","131.61","134.40","129.65","169.35M","2.85%"
"Dec 21, 2020","128.23","125.02","128.31","123.45","121.25M","1.24%"
"Dec 18, 2020","126.65","128.96","129.10","126.12","192.54M","-1.59%"
"Dec 17, 2020","128.70","128.90","129.58","128.04","94.36M","0.70%"
"Dec 16, 2020","127.81","127.41","128.37","126.56","98.21M","-0.05%"
"Dec 15, 2020","127.88","124.34","127.90","124.13","157.57M","5.01%"
"Dec 14, 2020","121.78","122.60","123.35","121.54","79.08M","-0.51%"
"Dec 11, 2020","122.41","122.43","122.76","120.55","86.94M","-0.67%"
"Dec 10, 2020","123.24","120.50","123.87","120.15","81.31M","1.20%"
"Dec 09, 2020","121.78","124.53","125.95","121.00","115.09M","-2.09%"
"Dec 08, 2020","124.38","124.37","124.98","123.09","82.23M","0.51%"
"Dec 07, 2020","123.75","122.31","124.57","122.25","86.71M","1.23%"
"Dec 04, 2020","122.25","122.60","122.86","121.52","78.26M","-0.56%"
"Dec 03, 2020","122.94","123.52","123.78","122.21","78.97M","-0.11%"
"Dec 02, 2020","123.08","122.02","123.37","120.89","89.00M","0.29%"
"Dec 01, 2020","122.72","121.01","123.47","120.01","128.17M","3.08%"
"Nov 30, 2020","119.05","116.97","120.97","116.81","169.41M","2.11%"
"Nov 27, 2020","116.59","116.57","117.49","116.22","46.69M","0.48%"
"Nov 25, 2020","116.03","115.55","116.75","115.17","76.50M","0.75%"
"Nov 24, 2020","115.17","113.91","115.85","112.59","113.87M","1.16%"
"Nov 23, 2020","113.85","117.18","117.62","113.75","127.96M","-2.97%"
"Nov 20, 2020","117.34","118.64","118.77","117.29","73.60M","-1.10%"
"Nov 19, 2020","118.64","117.59","119.06","116.81","74.11M","0.52%"
"Nov 18, 2020","118.03","118.61","119.82","118.00","76.32M","-1.14%"
"Nov 17, 2020","119.39","119.55","120.67","118.96","74.27M","-0.76%"
"Nov 16, 2020","120.30","118.92","120.99","118.15","91.18M","0.87%"
"Nov 13, 2020","119.26","119.44","119.67","117.87","81.69M","0.04%"
"Nov 12, 2020","119.21","119.62","120.53","118.57","103.35M","-0.23%"
"Nov 11, 2020","119.49","117.19","119.63","116.44","112.30M","3.04%"
"Nov 10, 2020","115.97","115.55","117.59","114.13","138.02M","-0.30%"
"Nov 09, 2020","116.32","120.50","121.99","116.05","154.52M","-2.00%"
"Nov 06, 2020","118.69","118.32","119.20","116.13","114.46M","-0.29%"
"Nov 05, 2020","119.03","117.95","119.62","116.87","126.39M","3.55%"
"Nov 04, 2020","114.95","114.14","115.59","112.35","138.24M","4.08%"
"Nov 03, 2020","110.44","109.66","111.49","108.73","107.62M","1.54%"
"Nov 02, 2020","108.77","109.11","110.68","107.32","122.87M","-0.08%"
"Oct 30, 2020","108.86","111.06","111.99","107.72","190.57M","-5.60%"
"Oct 29, 2020","115.32","112.37","116.93","112.20","146.13M","3.71%"
"Oct 28, 2020","111.20","115.05","115.43","111.10","143.94M","-4.63%"
"Oct 27, 2020","116.60","115.49","117.28","114.54","92.28M","1.35%"
"Oct 26, 2020","115.05","114.01","116.55","112.88","111.85M","0.01%"
"Oct 23, 2020","115.04","116.39","116.55","114.28","82.57M","-0.61%"
"Oct 22, 2020","115.75","117.45","118.04","114.59","101.99M","-0.96%"
"Oct 21, 2020","116.87","116.67","118.71","116.45","89.95M","-0.54%"
"Oct 20, 2020","117.51","116.20","118.98","115.63","124.42M","1.32%"
"Oct 19, 2020","115.98","119.96","120.42","115.66","120.64M","-2.55%"
"Oct 16, 2020","119.02","121.28","121.55","118.81","115.39M","-1.40%"
"Oct 15, 2020","120.71","118.72","121.20","118.15","112.56M","-0.40%"
"Oct 14, 2020","121.19","121.00","123.03","119.62","151.06M","0.07%"
"Oct 13, 2020","121.10","125.27","125.39","119.65","262.33M","-2.65%"
"Oct 12, 2020","124.40","120.06","125.18","119.28","240.23M","6.35%"
"Oct 09, 2020","116.97","115.28","117.00","114.92","100.51M","1.74%"
"Oct 08, 2020","114.97","116.25","116.40","114.59","83.48M","-0.10%"
